,image,subject,contrast,hemi,view
228,s16/tstat03_imagine_rest.nii.gz.s16.rh_medial.png,s16,imagine_rest,rh,medial
229,s16/tstat04_turning_walking.nii.gz.s16.lh_lateral.png,s16,turning_walking,lh,lateral
230,s16/tstat02_walking_rest.nii.gz.s16.rh_lateral.png,s16,walking_rest,rh,lateral
231,s16/SMA_imagine_rest.nii.gz.s16.rh_dorsal.png,s16,imagine_rest,rh,dorsal
232,s16/SMA_imagine_rest.nii.gz.s16.lh_dorsal.png,s16,imagine_rest,lh,dorsal
233,s16/tstat03_imagine_rest.nii.gz.s16.lh_lateral.png,s16,imagine_rest,lh,lateral
234,s17/tstat01_turning_rest.nii.gz.s17.rh_medial.png,s17,turning_rest,rh,medial
235,s17/tstat03_imagine_rest.nii.gz.s17.lh_medial.png,s17,imagine_rest,lh,medial
236,s17/tstat01_turning_rest.nii.gz.s17.lh_medial.png,s17,turning_rest,lh,medial
237,s17/tstat03_imagine_rest.nii.gz.s17.rh_medial.png,s17,imagine_rest,rh,medial
238,s17/SMA_imagine_rest.nii.gz.s17.rh_dorsal.png,s17,imagine_rest,rh,dorsal
239,s17/SMA_imagine_rest.nii.gz.s17.lh_dorsal.png,s17,imagine_rest,lh,dorsal
240,s17/tstat01_turning_rest.nii.gz.s17.rh_lateral.png,s17,turning_rest,rh,lateral
241,s17/tstat04_turning_walking.nii.gz.s17.lh_lateral.png,s17,turning_walking,lh,lateral
242,s17/tstat04_turning_walking.nii.gz.s17.lh_medial.png,s17,turning_walking,lh,medial
243,s17/tstat04_turning_walking.nii.gz.s17.rh_medial.png,s17,turning_walking,rh,medial
244,s17/tstat02_walking_rest.nii.gz.s17.lh_medial.png,s17,walking_rest,lh,medial
245,s17/tstat02_walking_rest.nii.gz.s17.rh_medial.png,s17,walking_rest,rh,medial
246,s17/tstat02_walking_rest.nii.gz.s17.rh_lateral.png,s17,walking_rest,rh,lateral
247,s17/tstat03_imagine_rest.nii.gz.s17.lh_lateral.png,s17,imagine_rest,lh,lateral
248,s17/tstat04_turning_walking.nii.gz.s17.rh_lateral.png,s17,turning_walking,rh,lateral
249,s17/tstat01_turning_rest.nii.gz.s17.lh_lateral.png,s17,turning_rest,lh,lateral
250,s17/tstat03_imagine_rest.nii.gz.s17.rh_lateral.png,s17,imagine_rest,rh,lateral
251,s17/tstat02_walking_rest.nii.gz.s17.lh_lateral.png,s17,walking_rest,lh,lateral
252,s18/tstat02_walking_rest.nii.gz.s18.rh_lateral.png,s18,walking_rest,rh,lateral
253,s18/tstat03_imagine_rest.nii.gz.s18.lh_lateral.png,s18,imagine_rest,lh,lateral
254,s18/tstat04_turning_walking.nii.gz.s18.rh_lateral.png,s18,turning_walking,rh,lateral
255,s18/tstat01_turning_rest.nii.gz.s18.rh_lateral.png,s18,turning_rest,rh,lateral
256,s18/SMA_imagine_rest.nii.gz.s18.rh_dorsal.png,s18,imagine_rest,rh,dorsal
257,s18/SMA_imagine_rest.nii.gz.s18.lh_dorsal.png,s18,imagine_rest,lh,dorsal
258,s18/tstat03_imagine_rest.nii.gz.s18.lh_medial.png,s18,imagine_rest,lh,medial
259,s18/tstat01_turning_rest.nii.gz.s18.rh_medial.png,s18,turning_rest,rh,medial
260,s18/tstat03_imagine_rest.nii.gz.s18.rh_medial.png,s18,imagine_rest,rh,medial
261,s18/tstat01_turning_rest.nii.gz.s18.lh_medial.png,s18,turning_rest,lh,medial
262,s18/tstat03_imagine_rest.nii.gz.s18.rh_lateral.png,s18,imagine_rest,rh,lateral
263,s18/tstat02_walking_rest.nii.gz.s18.lh_lateral.png,s18,walking_rest,lh,lateral
264,s18/tstat02_walking_rest.nii.gz.s18.lh_medial.png,s18,walking_rest,lh,medial
265,s18/tstat02_walking_rest.nii.gz.s18.rh_medial.png,s18,walking_rest,rh,medial
266,s18/tstat04_turning_walking.nii.gz.s18.lh_lateral.png,s18,turning_walking,lh,lateral
267,s18/tstat04_turning_walking.nii.gz.s18.rh_medial.png,s18,turning_walking,rh,medial
268,s18/tstat04_turning_walking.nii.gz.s18.lh_medial.png,s18,turning_walking,lh,medial
269,s18/tstat01_turning_rest.nii.gz.s18.lh_lateral.png,s18,turning_rest,lh,lateral
270,s19/tstat01_turning_rest.nii.gz.s19.rh_lateral.png,s19,turning_rest,rh,lateral
271,s19/tstat04_turning_walking.nii.gz.s19.lh_lateral.png,s19,turning_walking,lh,lateral
272,s19/tstat03_imagine_rest.nii.gz.s19.lh_lateral.png,s19,imagine_rest,lh,lateral
273,s19/SMA_imagine_rest.nii.gz.s19.lh_dorsal.png,s19,imagine_rest,lh,dorsal
274,s19/SMA_imagine_rest.nii.gz.s19.rh_dorsal.png,s19,imagine_rest,rh,dorsal
